Date,Open,High,Low,Close,Adj Close,Volume
2020-11-05,5500.000000,5550.000000,5425.000000,5500.000000,4267.730957,25384200
2020-11-06,5525.000000,5875.000000,5525.000000,5825.000000,4519.915527,62036900
2020-11-09,5800.000000,5850.000000,5600.000000,5600.000000,4345.327148,53921900
2020-11-10,5775.000000,5850.000000,5700.000000,5750.000000,4461.719238,60062700
2020-11-11,5850.000000,6025.000000,5850.000000,6000.000000,4655.707031,56581600
2020-11-12,5875.000000,6025.000000,5775.000000,6000.000000,4655.707031,67819100
2020-11-13,5900.000000,5925.000000,5850.000000,5900.000000,4578.112305,24090900
2020-11-16,5925.000000,6000.000000,5900.000000,5925.000000,4597.510742,62526400
2020-11-17,5950.000000,5975.000000,5800.000000,5800.000000,4500.517090,28012800
2020-11-18,5825.000000,5875.000000,5750.000000,5775.000000,4481.118164,25384700
2020-11-19,5750.000000,5775.000000,5725.000000,5725.000000,4442.320801,35427800
2020-11-20,5725.000000,5825.000000,5700.000000,5725.000000,4442.320801,33703300
2020-11-23,5725.000000,5850.000000,5725.000000,5800.000000,4500.517090,40933800
2020-11-24,5875.000000,5875.000000,5800.000000,5800.000000,4500.517090,33117500
2020-11-25,5825.000000,5875.000000,5550.000000,5550.000000,4306.529785,117614100
2020-11-26,5525.000000,5675.000000,5500.000000,5650.000000,4384.124512,89572000
2020-11-27,5650.000000,5700.000000,5525.000000,5550.000000,4306.529785,98376500
2020-11-30,5550.000000,5575.000000,5200.000000,5300.000000,4112.541016,311402400
2020-12-01,5425.000000,5550.000000,5400.000000,5550.000000,4306.529785,119445500
2020-12-02,5600.000000,5750.000000,5575.000000,5725.000000,4442.320801,94220300
2020-12-03,5725.000000,5750.000000,5600.000000,5625.000000,4364.724609,54407800
2020-12-04,5625.000000,5725.000000,5550.000000,5700.000000,4422.921875,52405500
2020-12-07,5800.000000,5900.000000,5725.000000,5850.000000,4539.314941,92859500
2020-12-08,5850.000000,5875.000000,5675.000000,5700.000000,4422.921875,77339200
2020-12-10,5800.000000,5875.000000,5750.000000,5825.000000,4519.915527,92988900
2020-12-11,5825.000000,5875.000000,5650.000000,5675.000000,4403.522461,53669200
2020-12-14,5725.000000,5750.000000,5650.000000,5675.000000,4403.522461,43821600
2020-12-15,5675.000000,5975.000000,5650.000000,5950.000000,4616.909668,128853200
2020-12-16,6000.000000,6200.000000,6000.000000,6125.000000,4752.700684,98362500
2020-12-17,6125.000000,6200.000000,6050.000000,6200.000000,4810.897461,76361900
2020-12-18,6250.000000,6275.000000,6175.000000,6200.000000,4810.897461,81878000
2020-12-21,6200.000000,6225.000000,6100.000000,6150.000000,4772.100098,54800500
